Lead ID,Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes,Email 1 Valid,Email 2 Valid,Email,Email Domain,Phone 1 Valid,Phone 2 Valid,Phone,Website Domain,Company Lead Count,Data Completeness Score,Lead Quality,AI Industry,AI Company Type,AI Summary
167,167,3D7E8BEfE642D50,Sonia Stewart,Christina,Yoder,Parks-Romero,0019294146207 ext 236,3759330361,pattersonbill@ball.com,westmarissa@morton.com,livingston.com,Chatbot,Proposal Sent,Physical plant field sure three stay.,True,True,pattersonbill@ball.com,ball.com,False,True,0019294146207 ext 236,livingston.com,1,100.0,Medium,Unknown,Unknown,"Parks-Romero is a company currently in the proposal stage of a business deal, with limited information available regarding their specific operations."
168,168,a62a5A7B3A8f6A0,Adrienne Boyle,Melody,Harmon,"Frost, Jordan and Flynn",0012815605720 ext 12602,5585819549 ext 2331,regina56@taylor.com,garrisonvirginia@daniels-goodman.org,garrison.biz,Purchased List,Contacted,Tell someone question head.,True,True,regina56@taylor.com,taylor.com,False,True,0012815605720 ext 12602,garrison.biz,1,100.0,Medium,Unknown,Unknown,"There is insufficient information to determine the industry, company type, or business activities of Frost, Jordan and Flynn."
169,169,8D92bEED6BDCd6e,Carly Schwartz,Misty,Mccarthy,Morales Ltd,5634865496,5804260455,jeanne68@pitts.biz,martha43@ritter.com,frey.net,Purchased List,Re-Engagement,Nature build show south street allow debate include.,True,True,jeanne68@pitts.biz,pitts.biz,True,True,5634865496,frey.net,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type for Morales Ltd.
170,170,0cEB4bF3fbA0Dd7,Rick Cooper,Katie,George,"Greer, Warner and Schmitt",9764423221 ext 563,5469066637 ext 5983,grichardson@gray.com,mpratt@rivas-gutierrez.com,peck.com,Google Ads,Closed Won,Country draw candidate career take.,True,True,grichardson@gray.com,gray.com,True,True,9764423221 ext 563,peck.com,1,100.0,High,Unknown,Unknown,The company information provided is insufficient to determine a specific industry or business type.
171,171,6993Af220DDD0b2,Mitchell Garner,Sonya,Coffey,"Kennedy, Cervantes and Romero",0015676036443 ext 97333,4425920285,rpatel@barrera.com,veronicacummings@lewis.biz,reilly-warren.com,Cold Call,Qualified,Guy situation city grow.,True,True,rpatel@barrera.com,barrera.com,False,True,0015676036443 ext 97333,reilly-warren.com,1,100.0,Medium,Unknown,Unknown,"There is insufficient information available to determine the industry or company type for Kennedy, Cervantes and Romero based on the provided data."
172,172,aB24bba3BBDcE1D,Julie Patton,Dave,Walsh,"Klein, Bailey and Bray",0016223340967,13338276608 ext 06842,cassiebecker@powell.com,sandymcdowell@coffey.com,murillo.com,Podcast,Re-Engagement,Head save last method Mr major tax example.,True,True,cassiebecker@powell.com,powell.com,True,False,0016223340967,murillo.com,1,100.0,High,Unknown,Unknown,The company information provided is insufficient to determine their industry or business model.
173,173,cfAa10B3c9CDa45,Barbara Cooper,Brandon,Hebert,"Oconnell, Collins and Summers",0014189918635 ext 674,5046209057,davesheppard@horn.com,daltonmorse@byrd.com,day.com,Chatbot,On Hold,Fast anyone charge imagine.,True,True,davesheppard@horn.com,horn.com,False,True,0014189918635 ext 674,day.com,1,100.0,Medium,Unknown,Unknown,The company information provided is insufficient to determine the industry or company type.
174,174,8F11DaEECEe287f,Autumn Knight,Kenneth,Harding,Hart Group,7358469280 ext 886,2163740191,dennisgabrielle@vega-chapman.net,angela95@shepherd.com,morales-chambers.com,Purchased List,Closed Lost,Commercial artist more return stop two.,True,True,dennisgabrielle@vega-chapman.net,vega-chapman.net,True,True,7358469280 ext 886,morales-chambers.com,1,100.0,High,Arts and Entertainment,Unknown,The company is identified as a commercial artist.
175,175,7D19872A629261d,Penny Ibarra,Selena,Mccullough,Rice LLC,7322448466,5728867016 ext 1698,pfrank@peterson-black.com,gonzaleskarla@gould.info,huerta.info,Cold Call,On Hold,Structure say subject education hotel.,True,True,pfrank@peterson-black.com,peterson-black.com,True,True,7322448466,huerta.info,1,100.0,High,Education,Education,Rice LLC appears to be involved in the education and hotel sectors based on the provided notes.
176,176,ED7F26209b3dFa6,Allison Blanchard,Kaylee,Schmidt,Cameron-Wise,2999671986 ext 9233,6873348137,deborah22@harrell.net,nielsendiamond@norris.com,pearson.info,Referral,Closed Lost,Low this enter concern skin low point.,True,True,deborah22@harrell.net,harrell.net,True,True,2999671986 ext 9233,pearson.info,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type for Cameron-Wise.
177,177,16a751aE9759b93,Krystal Morton,Frank,Hubbard,"Payne, Acosta and Hall",4444178890 ext 27276,0018116404403 ext 129,diamondhamilton@esparza.info,carrcaleb@shelton-ferrell.info,mccarty-juarez.com,Cold Call,Negotiation,It state nor real hotel which.,True,True,diamondhamilton@esparza.info,esparza.info,True,False,4444178890 ext 27276,mccarty-juarez.com,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry or company type of Payne, Acosta and Hall."
178,178,bD7B44C208Fc49C,Lance Baird,Carrie,Flores,Hartman-Cobb,8439657354 ext 62334,4067984115,sstafford@clark-beltran.com,brittney48@ross.biz,krause.com,Direct Traffic,Closed Lost,Low although maybe feeling partner.,True,True,sstafford@clark-beltran.com,clark-beltran.com,True,True,8439657354 ext 62334,krause.com,1,100.0,High,Unknown,Unknown,There is insufficient information provided to determine the industry or company type of Hartman-Cobb.
179,179,A6Ca7e1cB1AbcaC,Kiara Roberson,Edwin,Shepherd,Hendrix PLC,8923837656,3373348509 ext 25339,bradleyalyssa@higgins.com,mwarner@camacho-saunders.info,mendoza.com,Cold Email,Re-Engagement,Strategy institution inside leave authority for be enjoy.,True,True,bradleyalyssa@higgins.com,higgins.com,True,True,8923837656,mendoza.com,1,100.0,High,Unknown,Unknown,Hendrix PLC is a company currently in a re-engagement stage of business development with limited information available regarding its industry or operations.
180,180,Ef7738f808A2E77,Michelle Chang,Douglas,Roth,"Moody, Castro and Frey",2496628163 ext 2852,2887171168 ext 7493,christianjesus@ibarra-rocha.com,jacobssummer@franco-osborne.com,dalton.com,Networking Event,New Lead,Decade during size sometimes result.,True,True,christianjesus@ibarra-rocha.com,ibarra-rocha.com,True,True,2496628163 ext 2852,dalton.com,1,100.0,High,Unknown,Unknown,"The company was identified as a new lead at a networking event, but insufficient information is available to determine its industry or company type."
181,181,fe96FcAcc3925AE,Savannah Erickson,Joseph,Obrien,Johns LLC,9883077540 ext 261,3496939510,rebeccaroth@clay.biz,hodgestom@horn-gordon.com,cross.info,Content Marketing,Re-Engagement,Both themselves difficult care.,True,True,rebeccaroth@clay.biz,clay.biz,True,True,9883077540 ext 261,cross.info,1,100.0,High,Unknown,Unknown,"Johns LLC is a company currently in a re-engagement stage of the sales pipeline, though no specific industry or business activity is mentioned in the provided data."
182,182,14d46c27e7c3bE2,Shelby Hubbard,Nathan,Macias,Fischer-Warren,2337570647,14113255491 ext 44362,kristy95@cummings-conrad.info,tduncan@garza-hendrix.com,maddox-perez.biz,Retargeting Ads,Closed Lost,Air minute and effect.,True,True,kristy95@cummings-conrad.info,cummings-conrad.info,True,False,2337570647,maddox-perez.biz,1,100.0,High,Unknown,Unknown,Insufficient information is provided to determine the industry or company type of Fischer-Warren based on the available notes.
183,183,Bf2F19c3EacC4b1,Keith Hardin,Sonya,Beck,Wallace-Woodard,6806163824 ext 2445,5522710476,roberto44@robles-mcmillan.org,brian52@martin-obrien.info,gould.com,Retargeting Ads,Proposal Sent,Recent easy people car bad.,True,True,roberto44@robles-mcmillan.org,robles-mcmillan.org,True,True,6806163824 ext 2445,gould.com,1,100.0,High,Unknown,Unknown,"There is insufficient information available to determine the industry, company type, or business activities of Wallace-Woodard based on the provided data."
184,184,5eab2863666c2f8,Darren Johns,Norma,Hodges,Douglas Ltd,8386537113 ext 2447,0019264936115 ext 250,mccormickjake@bentley-guerra.com,sue30@lam.com,owen.com,Other,Qualified,Us expert even.,True,True,mccormickjake@bentley-guerra.com,bentley-guerra.com,True,False,8386537113 ext 2447,owen.com,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry, company type, or business activities of Douglas Ltd."
185,185,bEf685Fe0A29ACC,Jeffery Riddle,Vernon,Cohen,"Roberts, Duarte and Floyd",9726600284 ext 801,2972436166,guerraconnor@velazquez.org,meadowsgeoffrey@sweeney.net,jefferson-schneider.com,Linkedin Outreach,Contacted,Cultural class through office myself.,True,True,guerraconnor@velazquez.org,velazquez.org,True,True,9726600284 ext 801,jefferson-schneider.com,1,100.0,High,Unknown,Unknown,The available information provides insufficient evidence to determine the company's industry or business model.
186,186,eB97dE1Bc22D35F,Darrell Haas,Matthew,Haas,Wood Inc,0015813431174 ext 1198,4196052828 ext 840,wmontoya@calhoun-george.com,leahmorgan@strickland.net,kerr-gregory.biz,Webinars,New Lead,Responsibility enough nice near wonder sound.,True,True,wmontoya@calhoun-george.com,calhoun-george.com,False,True,0015813431174 ext 1198,kerr-gregory.biz,1,100.0,Medium,Unknown,Unknown,The company Wood Inc was identified as a new lead through a webinar source with no further information available regarding its business activities.
187,187,6B9f7eeeD02c4E9,Jeanne Bridges,Donald,Wilcox,Pace PLC,3844176857,6468627579 ext 5174,carrie13@guerra.com,william13@haley-robbins.info,stein.com,Linkedin Outreach,New Lead,Case ok tough nation feel read.,True,True,carrie13@guerra.com,guerra.com,True,True,3844176857,stein.com,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type for Pace PLC.
188,188,aac0ea65bd1Ffb1,Dakota Bryan,Albert,Delgado,Crane and Sons,0018927140225 ext 9612,9045317620 ext 4704,stoutsandy@stanton-mckee.com,laracarly@liu-gould.com,mora.com,Facebook Ads,Negotiation,World green central me not arm drug.,True,True,stoutsandy@stanton-mckee.com,stanton-mckee.com,False,True,0018927140225 ext 9612,mora.com,1,100.0,Medium,Unknown,Unknown,The provided notes do not contain sufficient information to determine the company's industry or business type.
189,189,725dBc3c7692D83,Rachel Sharp,Vincent,Henry,"Page, Lewis and Bradley",4955650907,6566812721,vrobinson@santos.com,jorge34@howard.biz,ford-campbell.com,Podcast,On Hold,Notice join minute responsibility.,True,True,vrobinson@santos.com,santos.com,True,True,4955650907,ford-campbell.com,1,100.0,High,Unknown,Unknown,"There is insufficient information available about Page, Lewis and Bradley to determine their industry or company type."
190,190,3E1c7Ab7CFb7166,Jenna English,Alexis,Gonzalez,Holland-Peterson,0018965380501 ext 7664,19836136050 ext 52435,lindsay81@macias-mccall.com,kaufmangregg@barry.org,kaiser.com,Cold Call,Disqualified,Risk better address what leave hand.,True,True,lindsay81@macias-mccall.com,macias-mccall.com,False,False,0018965380501 ext 7664,kaiser.com,1,100.0,Medium,Unknown,Unknown,The company Holland-Peterson was disqualified as a business lead due to insufficient information provided in the notes.
191,191,B4Bb0eF8Df03fa0,Eduardo Lane,Darin,Mercer,Roberson and Sons,17463341493 ext 384,12805636130,zachary06@aguilar-booth.com,taylor53@burke.org,kerr.com,Partner Program,Closed Lost,Travel drop seat natural.,True,True,zachary06@aguilar-booth.com,aguilar-booth.com,True,True,17463341493 ext 384,kerr.com,1,100.0,High,Unknown,Unknown,The company Roberson and Sons has insufficient information provided to determine its industry or company type.
192,192,62c98eB5dFE1a41,Kathryn Cohen,Daisy,Logan,"Norton, Hatfield and Kelley",0016809097292 ext 0050,0014513017386 ext 510,roger26@zimmerman-mendoza.biz,bsherman@yu-maddox.net,roth.com,Facebook Ads,Proposal Sent,Again word structure beautiful never high before.,True,True,roger26@zimmerman-mendoza.biz,zimmerman-mendoza.biz,False,False,0016809097292 ext 0050,roth.com,1,100.0,Medium,Unknown,Unknown,"The company Norton, Hatfield and Kelley is currently in the proposal stage for a deal, but there is insufficient information to determine their industry or business model."
193,193,FcfAB7649111CbC,Logan Wagner,Hannah,Sims,Blair PLC,8055834820,0019948185568 ext 13507,ramirezbethany@carroll.com,hopkinsnathan@patrick.com,berg-bowen.org,Organic Search (Seo),New Lead,Present and able daughter evening quite everybody.,True,True,ramirezbethany@carroll.com,carroll.com,True,False,8055834820,berg-bowen.org,1,100.0,High,Unknown,Unknown,Blair PLC is a business lead sourced through organic search with insufficient public information to determine their industry or company type.
194,194,621Ce227F2caFd1,Tanya York,Richard,Davies,"Beck, Valdez and Terry",4123519620 ext 349,9487846955,brittney18@lopez-flowers.com,sandralawson@woodard.info,lutz.com,Social Media,Negotiation,Break best its life must.,True,True,brittney18@lopez-flowers.com,lopez-flowers.com,True,True,4123519620 ext 349,lutz.com,1,100.0,High,Unknown,Unknown,"There is insufficient information available to determine the industry or company type of Beck, Valdez and Terry."
195,195,Ac56a91B4f5f5E2,Kristie Nichols,Carl,Dodson,"Haynes, Gardner and Fitzgerald",3039577683 ext 248,13538555843 ext 04311,lawrencekey@gillespie.com,mritter@leonard.com,estes.com,Social Media,Closed Lost,Organization reflect word heart beat small.,True,True,lawrencekey@gillespie.com,gillespie.com,True,False,3039577683 ext 248,estes.com,1,100.0,High,Unknown,Unknown,"There is insufficient information available to determine the industry or company type for Haynes, Gardner and Fitzgerald."
196,196,4dc6b3BC7B467dB,Howard Davenport,Steve,Woodard,"Weeks, Valencia and Mata",6993033168,2725101890 ext 722,barbaramorse@wise.com,bryan35@strong.com,thomas.com,Referral,Contacted,Production can man morning eye system character.,True,True,barbaramorse@wise.com,wise.com,True,True,6993033168,thomas.com,1,100.0,High,Unknown,Unknown,"There is insufficient information available to determine the industry or company type for Weeks, Valencia and Mata."
197,197,bAD1Ff4A5FfF8eb,Gene Collier,Jim,Schneider,Hudson Inc,9889726509 ext 9436,2025948632 ext 65647,donnakaiser@thomas.net,vochoa@jordan.com,hampton-herrera.com,Content Marketing,Closed Lost,Work hope dream develop paper we.,True,True,donnakaiser@thomas.net,thomas.net,True,True,9889726509 ext 9436,hampton-herrera.com,1,100.0,High,Unknown,Unknown,Hudson Inc is a company with insufficient public information available to determine its industry or core business activities.
198,198,0b9bDFCEd3c4bFC,Joanna Maynard,Darryl,Branch,Mcmillan Ltd,2292766575,0016249368671 ext 1742,theresa13@fitzgerald-kim.net,wmercer@cantrell.biz,jefferson.com,Podcast,Proposal Sent,Yeah stay manage professor store hundred.,True,True,theresa13@fitzgerald-kim.net,fitzgerald-kim.net,True,False,2292766575,jefferson.com,1,100.0,High,Unknown,Unknown,"The provided information does not contain sufficient details to determine the industry, company type, or operations of Mcmillan Ltd."
199,199,32eff842ab8e9FE,Gwendolyn Pena,Scott,Hudson,Mercer-Branch,13937911663 ext 2561,0019324808806 ext 47811,mandy06@cardenas.biz,emilynelson@underwood.biz,king.com,Website Form,Proposal Sent,Boy claim compare.,True,True,mandy06@cardenas.biz,cardenas.biz,True,False,13937911663 ext 2561,king.com,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type of Mercer-Branch based on the provided data.
200,200,076FdeeF2a28208,Martha Mercer,Shirley,Huber,Fuentes and Sons,2248332179 ext 267,5659833852 ext 401,allisondixon@vaughan.biz,poncekristin@flores-acosta.net,orr.com,Purchased List,Proposal Sent,Ago successful while war have receive.,True,True,allisondixon@vaughan.biz,vaughan.biz,True,True,2248332179 ext 267,orr.com,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type for Fuentes and Sons.
201,201,ADfF7ABb3BBB7fD,Yvette Oconnell,Jodi,Mcbride,"Brock, Huang and Bartlett",0016064865290 ext 5174,0018866348845 ext 6831,merrittkatie@cameron.com,kberg@moss.com,curtis-herring.info,Google Ads,Closed Lost,Matter evening price leg Republican really exactly.,True,True,merrittkatie@cameron.com,cameron.com,False,False,0016064865290 ext 5174,curtis-herring.info,1,100.0,Medium,Unknown,Unknown,"There is insufficient information available about the company to determine its industry, company type, or operations."
202,202,A5d591d09EC8C3B,Gavin Huffman,Wesley,Savage,Wood PLC,5652765642,3646017578,pforbes@spencer-conrad.com,pamelawalls@mullins.com,christian.com,Chatbot,Contacted,Do tax born herself response store.,True,True,pforbes@spencer-conrad.com,spencer-conrad.com,True,True,5652765642,christian.com,1,100.0,High,Unknown,Unknown,The provided notes do not contain sufficient information to determine the company's industry or business type.
203,203,4fFaAd5673aA6CF,Mario Burgess,Kayla,Hood,"Leon, Moyer and Mcclain",6558955277,5447697850,rsexton@delacruz.info,jimandrade@crane.com,fuentes.net,Google Ads,Contacted,Security pull start.,True,True,rsexton@delacruz.info,delacruz.info,True,True,6558955277,fuentes.net,1,100.0,High,Unknown,Unknown,"The company is a business lead currently in the contacted stage, with internal notes referencing a security pull."
204,204,D0Bf02B51c076cf,Teresa Frank,Jeremy,Frederick,Bell-Bishop,17408416280 ext 6953,13756742399 ext 09491,monicastout@harris.com,cassidykeith@hansen.net,george.net,Webinars,Closed Lost,Entire speak many own know growth.,True,True,monicastout@harris.com,harris.com,True,False,17408416280 ext 6953,george.net,1,100.0,High,Unknown,Unknown,"The company Bell-Bishop was a participant in webinars, but there is insufficient information to determine their specific industry or company type."
205,205,F1E3a81cD9fCdE7,Louis Acosta,Troy,Oliver,Walls-Huffman,6284220882,7854718561 ext 17311,hancockkathy@harding-porter.com,bernard35@rivas.biz,little.com,Cold Email,Closed Won,Citizen expect challenge.,True,True,hancockkathy@harding-porter.com,harding-porter.com,True,True,6284220882,little.com,1,100.0,High,Unknown,Unknown,Walls-Huffman is a closed won lead with no specific information provided regarding its industry or business operations.
206,206,e2eA86cCe94A95E,Ana Medina,Kevin,Clark,Townsend and Sons,4582161113 ext 6030,7782352660 ext 529,kelli63@little.net,edixon@riddle.com,adkins-palmer.com,Organic Search (Seo),On Hold,Religious person hold garden soldier.,True,True,kelli63@little.net,little.net,True,True,4582161113 ext 6030,adkins-palmer.com,1,100.0,High,Unknown,Unknown,The provided information for Townsend and Sons does not contain enough data to determine their industry or business operations.
207,207,fEAFDaFCA41DDF8,Marie Navarro,Ryan,Phelps,Hull-Gibson,0017579043506,0019617253565 ext 36062,caroline35@stout-brewer.info,wwilliams@wiggins-velazquez.com,hobbs-meyer.biz,Google Ads,Closed Lost,Air particularly during idea.,True,True,caroline35@stout-brewer.info,stout-brewer.info,True,False,0017579043506,hobbs-meyer.biz,1,100.0,High,Unknown,Unknown,The available information regarding Hull-Gibson does not provide sufficient evidence to determine its industry or company type.
208,208,F8888bbDB0A0Cc7,Billy Baldwin,Meredith,Graham,"Key, Villarreal and Anthony",17927051658 ext 3272,9639177803 ext 0269,butlermicheal@willis-estes.com,whitakersierra@benton.com,ballard.net,Organic Search (Seo),Proposal Sent,Today present situation.,True,True,butlermicheal@willis-estes.com,willis-estes.com,True,True,17927051658 ext 3272,ballard.net,1,100.0,High,Unknown,Unknown,The company is currently in the proposal stage of a business deal.
209,209,C2E75B3A4Ef35bf,Dominique Costa,Marcus,Bowman,Petty-Sheppard,2349937952 ext 080,6224300241,doughertyalice@carpenter.com,fpacheco@day-delacruz.com,jefferson.org,Other,Proposal Sent,Maintain street political simple good.,True,True,doughertyalice@carpenter.com,carpenter.com,True,True,2349937952 ext 080,jefferson.org,1,100.0,High,Unknown,Unknown,The available information is insufficient to determine the industry or company type for Petty-Sheppard.
210,210,f0eFd7fDC1393FC,Chad Mccarthy,Diane,Schwartz,Winters LLC,19655771160 ext 30802,0017659065992 ext 4619,ylove@lamb.net,annette90@horn-odom.com,watts.com,Website Form,On Hold,Light from another player data where surface.,True,True,ylove@lamb.net,lamb.net,False,False,19655771160 ext 30802,watts.com,1,100.0,Medium,Unknown,Unknown,Winters LLC is a company with insufficient public information available to determine its specific industry or business operations.
211,211,C786FfB157eDE10,Eddie Page,Vanessa,Nixon,Larson Group,19477262200,8464924691,ferrellbarbara@glenn.com,jaysparks@chambers-stanton.com,riley-ramirez.com,Organic Search (Seo),Proposal Sent,Car eye analysis treat.,True,True,ferrellbarbara@glenn.com,glenn.com,True,True,19477262200,riley-ramirez.com,1,100.0,High,Healthcare,Healthcare,Larson Group appears to be involved in the field of eye analysis and treatment.
212,212,AaCe597AB4ce2aD,Jeremiah Gentry,Michelle,Dalton,"Haney, Pena and Arroyo",4398217184,9213456039 ext 591,mandycurry@singleton-russell.org,manuel89@michael-leon.com,duffy-hale.biz,Content Marketing,On Hold,Parent study they catch seven.,True,True,mandycurry@singleton-russell.org,singleton-russell.org,True,True,4398217184,duffy-hale.biz,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the company's industry or business model based on the provided data.
213,213,6FEbf154f77A9E7,Margaret Cervantes,Lance,Newton,Gill-Jarvis,15548095785 ext 231,12262134704 ext 0669,darren85@glenn.com,kurtmullen@davila-willis.com,prince.com,Podcast,On Hold,Want fill tend car anything task within.,True,True,darren85@glenn.com,glenn.com,True,True,15548095785 ext 231,prince.com,1,100.0,High,Unknown,Unknown,The company Gill-Jarvis is a lead from a podcast source currently marked as on hold with unclear business operations.
214,214,f1CcfDFdF1ad5D9,Tiffany Mcguire,Tara,Thompson,Rubio-Jenkins,7315371247,3886675937,along@madden-park.com,lloydsummer@nguyen.net,michael.net,Cold Call,Negotiation,Radio challenge resource bag.,True,True,along@madden-park.com,madden-park.com,True,True,7315371247,michael.net,1,100.0,High,Unknown,Unknown,"The company Rubio-Jenkins is currently in the negotiation stage of a business deal, with no specific information available regarding its industry or operations."
215,215,DDbCDD3792dc5D1,Vanessa Byrd,Mandy,Preston,"Ramos, Herrera and Lowe",2916398254,0017715719280 ext 850,khuffman@hanson.com,sbaker@matthews.com,oneal-wolfe.com,Referral,On Hold,Coach blood court probably truth student.,True,True,khuffman@hanson.com,hanson.com,True,False,2916398254,oneal-wolfe.com,1,100.0,High,Unknown,Unknown,There is insufficient information provided to determine the company's industry or business type.
216,216,Eb8f6AA38227Fec,Christopher Ellis,Belinda,Abbott,Gordon LLC,6667370311 ext 524,16607287352 ext 3165,villarrealedgar@conner.biz,vprice@chandler.biz,vaughan.net,Cold Call,New Lead,Federal field crime push wind his second.,True,True,villarrealedgar@conner.biz,conner.biz,True,True,6667370311 ext 524,vaughan.net,1,100.0,High,Unknown,Unknown,There is insufficient information provided to determine the industry or company type for Gordon LLC.
217,217,5B1ebe7aAeB7eDD,James Sanders,Tiffany,Cervantes,"Krause, Chase and Saunders",2438987333,5162934470 ext 306,mbaker@galvan-walls.com,gerald61@roberson.com,meza.com,Other,Closed Lost,Rest officer help imagine bit personal attorney note.,True,True,mbaker@galvan-walls.com,galvan-walls.com,True,True,2438987333,meza.com,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry or company type of Krause, Chase and Saunders."
218,218,96ad17b2FaFae5E,Regina Duffy,Jessica,Mays,Dawson PLC,18228308732 ext 2496,7554345213 ext 6385,againes@martin.org,smiles@alvarado.com,wiley-richard.com,Facebook Ads,Closed Lost,Her name instead a financial approach.,True,True,againes@martin.org,martin.org,True,True,18228308732 ext 2496,wiley-richard.com,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type of Dawson PLC based on the provided data.
219,219,13eE56637D7EAF4,Krista Munoz,Curtis,Sexton,Lynch-Trujillo,6173871435 ext 5299,15375519113 ext 55018,monicadavila@conrad.com,joebird@paul-rich.com,goodwin.com,Website Form,New Lead,Color PM ten life company.,True,True,monicadavila@conrad.com,conrad.com,True,False,6173871435 ext 5299,goodwin.com,1,100.0,High,Unknown,Unknown,The provided information for Lynch-Trujillo is insufficient to determine the company's industry or business operations.
220,220,91B7af6dE1E7B74,Dominique Zamora,Joel,Stein,"Macias, Dunn and Clarke",9002925509 ext 281,19882498847 ext 977,jerry70@gallegos-walter.com,phylliscampos@wright-montoya.org,guerrero.com,Cold Email,Proposal Sent,Some avoid down try church audience public.,True,True,jerry70@gallegos-walter.com,gallegos-walter.com,True,True,9002925509 ext 281,guerrero.com,1,100.0,High,Unknown,Unknown,"There is insufficient information available to determine the industry or company type for Macias, Dunn and Clarke."
221,221,815Ec86FdDDDFee,Jack Levy,Jaclyn,Craig,Schmidt-Gonzales,0012393492481 ext 118,5975544048,ritabullock@clay.com,torresjerry@huerta.com,stafford-burton.com,Social Media,Proposal Sent,Customer morning style spend take nation when.,True,True,ritabullock@clay.com,clay.com,False,True,0012393492481 ext 118,stafford-burton.com,1,100.0,Medium,Unknown,Unknown,"Schmidt-Gonzales is a company currently in the proposal stage of a business deal, with no specific industry or company type information provided."
222,222,9c574Ecf7ff8F9F,Stefanie Lucas,Dennis,Hess,Leonard-Knapp,4224204032,4358647570 ext 83352,rhester@juarez.com,sduncan@bailey-carlson.com,mercer-haney.com,Direct Traffic,Closed Won,Idea century human look strong.,True,True,rhester@juarez.com,juarez.com,True,True,4224204032,mercer-haney.com,1,100.0,High,Unknown,Unknown,The company information provided is insufficient to determine a specific industry or business type.
223,223,bbFEcA18FA2BaB8,Miranda Anderson,Kim,Frederick,Acevedo Ltd,6862759965 ext 1893,7543054265,mowens@fernandez.info,eburgess@hurley.net,mendez.biz,Cold Email,Closed Lost,Congress difficult base teacher maybe term.,True,True,mowens@fernandez.info,fernandez.info,True,True,6862759965 ext 1893,mendez.biz,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type for Acevedo Ltd.
224,224,E6Cba758fC3D5A1,Stephanie Barnes,Ellen,Wallace,Garrett Inc,7313241712 ext 909,7702776356 ext 0823,zsexton@yu.biz,murrayhenry@fleming.org,morrison.com,Trade Show,Negotiation,Recent him speech area.,True,True,zsexton@yu.biz,yu.biz,True,True,7313241712 ext 909,morrison.com,1,100.0,High,Unknown,Unknown,Garrett Inc is currently in a negotiation stage based on information gathered at a trade show.
225,225,f39CBb62d2ac295,Nancy Norris,Pamela,Bowman,"Landry, Wong and Fisher",7759177829 ext 572,0018189691053 ext 69946,rodneyduarte@wilkerson.com,traceyhunter@estes-merritt.com,vaughan.com,Chatbot,New Lead,Region possible big marriage care.,True,True,rodneyduarte@wilkerson.com,wilkerson.com,True,False,7759177829 ext 572,vaughan.com,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry or company type for Landry, Wong and Fisher."
226,226,1aeB109D9eeBBC9,Eddie Landry,Mitchell,Haley,Nicholson-Madden,2774452515 ext 01563,0019818837732,sweeneybradley@butler.com,casey86@walker.com,meyers.com,Facebook Ads,Contacted,Claim bank your there court now approach.,True,True,sweeneybradley@butler.com,butler.com,True,True,2774452515 ext 01563,meyers.com,1,100.0,High,Unknown,Unknown,The provided information contains insufficient data to determine the industry or company type for Nicholson-Madden.
227,227,baBCD8adcA9C04c,Brent Li,Lori,Brewer,Gregory-Booth,8597776495,5886734715 ext 6793,ygardner@krause.com,julieblake@griffin.biz,sharp.com,Referral,Closed Lost,Away upon professional past it who.,True,True,ygardner@krause.com,krause.com,True,True,8597776495,sharp.com,1,100.0,High,Unknown,Unknown,The company information provided is insufficient to determine a specific industry or business type.
228,228,Eacd6CEc5Bf0C95,Adrian Atkinson,Nicholas,Guzman,"Carr, Roberson and Rose",15739475500 ext 2952,9735731611,veronicaskinner@fritz.com,floyddaniel@reese.com,arroyo.net,Content Marketing,Negotiation,Kid thing develop most.,True,True,veronicaskinner@fritz.com,fritz.com,True,True,15739475500 ext 2952,arroyo.net,1,100.0,High,Unknown,Unknown,There is insufficient information to determine the company's industry or business model based on the provided data.
229,229,4FC99353E5539CA,Sandy Delgado,Lee,Benson,Harris-Morgan,0017273945490,7562939515,janet38@cline-blanchard.com,wrojas@dodson-hurst.com,craig.info,Networking Event,Qualified,Study meeting music sit drop.,True,True,janet38@cline-blanchard.com,cline-blanchard.com,True,True,0017273945490,craig.info,1,100.0,High,Unknown,Unknown,There is insufficient information provided to determine the industry or company type of Harris-Morgan.
